Season,date,HomeTeam,AwayTeam,FTHG,FTAG,Ave L5 Goals,Ave L5 Away,Ave L5 HS,Ave L5 AS,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Result
2000-01,########,BradfordH,LeedsA,1,1,0.4,0.8,9.8,12.0,4.8,6.2,6.2,6.2,14.4,16.4,1.6,2.0,0.0,0.0,2
2000-01,########,LiverpoolH,EvertonA,3,1,2.2,1.4,14.0,10.0,8.0,5.8,9.6,5.0,12.4,10.0,1.2,1.4,0.0,0.2,1
2000-01,########,CharltonH,BradfordA,2,0,1.4,0.2,9.0,9.0,5.6,4.8,6.2,4.2,10.2,13.6,1.2,1.6,0.2,0.2,1
2000-01,########,CoventryH,ManUnitedA,1,2,0.6,2.0,7.0,13.0,2.6,5.8,4.6,7.4,13.4,11.2,0.8,1.0,0.2,0.0,0
2000-01,########,LeedsH,LiverpoolA,4,3,2.6,2.2,12.6,11.2,6.2,5.4,7.2,2.4,13.2,12.8,0.8,1.6,0.0,0.0,1
2000-01,########,ManCityH,LeicesterA,0,1,0.8,0.6,12.2,7.8,5.8,4.0,7.6,5.2,12.0,12.2,1.0,1.6,0.0,0.0,0
2000-01,########,MiddlesbroughH,ArsenalA,0,1,0.8,1.4,9.6,13.0,4.6,6.6,5.4,7.0,10.6,14.0,2.2,1.2,0.2,0.0,0
2000-01,########,NewcastleH,IpswichA,2,1,0.8,1.8,11.8,9.6,5.0,5.0,5.0,2.2,13.2,11.6,0.6,0.8,0.0,0.0,1
2000-01,########,SouthamptonH,ChelseaA,3,2,1.8,1.2,14.4,10.8,6.8,4.2,6.6,5.4,10.6,16.2,1.4,1.8,0.0,0.2,1
2000-01,########,TottenhamH,SunderlandA,2,1,1.8,0.4,14.6,8.2,6.6,2.6,7.6,4.6,12.4,14.0,0.8,1.8,0.2,0.0,1
2000-01,########,EvertonH,AstonVillaA,0,1,0.8,1.0,9.2,8.2,5.0,3.4,7.2,4.2,12.0,15.4,2.2,2.2,0.0,0.2,0
2000-01,########,DerbyH,WestHamA,0,0,1.2,1.0,10.8,10.4,4.0,6.4,6.4,5.2,14.8,13.4,2.0,2.2,0.2,0.0,2
2000-01,########,ArsenalH,DerbyA,0,0,1.8,0.8,15.6,9.0,10.2,4.4,7.6,3.6,10.6,15.2,0.8,2.2,0.0,0.0,2
2000-01,########,AstonVillaH,TottenhamA,2,0,2.0,0.8,12.8,6.6,6.2,4.0,7.4,3.6,9.4,14.6,1.0,2.4,0.0,0.0,1
2000-01,########,BradfordH,EvertonA,0,1,0.4,1.2,10.4,9.6,5.2,5.4,5.6,4.6,13.8,11.6,1.6,1.4,0.0,0.2,0
2000-01,########,IpswichH,CharltonA,2,0,1.4,1.0,18.4,7.6,8.6,4.8,7.2,6.4,8.6,10.8,0.4,1.6,0.0,0.0,1
2000-01,########,LeicesterH,NewcastleA,1,1,1.0,1.0,10.8,11.8,4.6,6.0,6.4,6.6,8.8,11.4,0.8,1.0,0.0,0.0,2
2000-01,########,ManUnitedH,MiddlesbroughA,2,1,3.2,1.2,17.2,6.2,9.0,3.4,8.2,3.2,10.4,15.8,0.8,2.2,0.0,0.0,1
2000-01,########,SunderlandH,SouthamptonA,2,2,1.2,0.8,12.8,8.8,7.2,4.6,4.6,6.0,14.0,14.0,1.6,1.0,0.2,0.0,2
2000-01,########,WestHamH,ManCityA,4,1,1.6,1.0,14.6,8.6,5.6,4.0,6.2,4.0,11.2,13.2,1.6,2.4,0.0,0.2,1
2000-01,########,ChelseaH,LeedsA,1,1,2.6,0.6,16.2,11.0,9.6,4.6,6.6,5.0,13.4,17.2,2.2,2.8,0.0,0.0,2
2000-01,########,LiverpoolH,CoventryA,4,1,2.4,1.0,15.6,7.8,9.2,4.0,9.4,2.8,11.8,11.8,1.4,1.4,0.0,0.2,1
2000-01,########,CharltonH,ChelseaA,2,0,1.6,1.0,9.4,11.2,5.6,3.4,5.0,4.4,11.0,18.2,1.0,2.2,0.0,0.2,1
